code,title,section,class,subclass,group,main_group
255166,89817,8,10.0,17,29.0,53422.0
160158,187506,5,23.0,10,11.0,5.0
50063,212164,1,29.0,2,2035.0,85.0
74735,73881,1,64.0,6,2700.0,24.0
111052,16031,2,12.0,2,5.0,4.0
21652,161742,0,61.0,9,39.0,1195.0
35948,50272,1,1.0,8,47.0,19.0
234982,163101,7,4.0,10,29.0,6333.0
258810,46494,8,10.0,17,74.0,18496.0
249029,29159,8,10.0,16,493.0,917.0
57017,10707,1,31.0,5,7.0,2.0
233165,157908,7,4.0,1,7.0,18519.0
257050,31187,8,10.0,17,428.0,231.0
109693,118820,2,10.0,11,2203.0,24.0
24991,202051,0,61.0,11,5.0,347.0
176557,194325,6,1.0,16,7.0,4034.0
237496,156803,7,4.0,11,9.0,22.0
96749,37442,2,7.0,3,271.0,0.0
64557,121854,1,60.0,8,10.0,36.0
23718,147615,0,61.0,11,16.0,85.0
209385,57152,7,1.0,8,2211.0,365.0
62304,22071,1,60.0,1,35.0,2.0
211883,162090,7,1.0,10,21.0,2686.0
52476,103508,1,29.0,2,48.0,305.0
27339,187781,0,63.0,1,69.0,15.0
79008,87325,1,65.0,3,90.0,60.0
29789,166072,1,1.0,3,15.0,1821.0
56107,136090,1,29.0,10,2031.0,7484.0
162937,93833,5,25.0,1,9.0,14.0
202736,94513,6,11.0,1,2220.0,23.0
63305,118286,1,60.0,6,17.0,165.0
117366,14205,2,12.0,20,114.0,99038.0
65878,182603,1,60.0,11,1.0,135.0
117684,114928,2,12.0,20,201.0,1205.0
184251,4210,6,5.0,1,2219.0,13088.0
198477,204412,6,7.0,3,3.0,123.0
58540,219929,1,41.0,5,16.0,46.0
7460,55257,0,43.0,3,8.0,16.0
166108,119914,5,41.0,0,9.0,6.0
2041,43339,0,1.0,9,31.0,17.0
174520,142214,6,1.0,13,15.0,802.0
227756,215283,7,2.0,13,7.0,2815.0
29541,211682,0,63.0,7,33.0,65.0
84224,100626,1,66.0,2,13.0,20.0
237165,54974,7,4.0,11,2215.0,8141.0
17256,210023,0,61.0,5,2002.0,30515.0
47582,159160,1,25.0,8,9.0,48.0
209416,93588,7,1.0,8,2217.0,491.0
113148,49444,2,12.0,12,2760.0,10061.0
250312,43259,8,10.0,16,706.0,933.0
3421,137364,0,22.0,2,21.0,61.0
75551,114738,1,65.0,2,2210.0,35.0
36511,25532,1,2.0,2,17.0,0.0
25757,4696,0,61.0,13,39.0,2.0
170872,145745,6,1.0,12,2001.0,245.0
149691,199072,5,16.0,1,17.0,8.0
62316,175175,1,60.0,1,35.0,1063.0
74660,134158,1,64.0,6,1.0,244.0
29419,50396,0,63.0,7,19.0,36.0
172693,16105,6,1.0,12,23.0,2206.0
11237,10560,0,47.0,7,1.0,13.0
99269,159178,2,7.0,9,9.0,3.0
128283,160197,3,6.0,13,1.0,5278.0
89972,96519,2,3.0,2,25.0,47.0
173378,179669,6,1.0,12,25.0,4866.0
191706,45347,6,5.0,1,2219.0,49315.0
245840,25398,8,10.0,16,165.0,421.0
237413,6556,7,4.0,11,3.0,58.0
109996,3872,2,10.0,11,2215.0,8.0
167940,108081,6,1.0,2,21.0,6.0
164988,164247,5,27.0,3,3.0,145.0
244890,41597,8,10.0,16,123.0,0.0
214930,14044,7,1.0,10,2224.0,35827.0
125777,76022,3,3.0,8,5.0,8.0
150912,219258,5,16.0,2,33.0,4611.0
182813,25411,6,3.0,7,2270.0,22.0
46021,162390,1,24.0,1,27.0,53.0
139197,149996,4,21.0,3,9.0,1.0
882,18704,0,1.0,3,59.0,12.0
46761,217417,1,25.0,1,21.0,8.0
53306,185442,1,29.0,2,65.0,5042.0
228694,2227,7,3.0,5,2201.0,3231.0
1639,137240,0,1.0,7,6.0,342.0
188546,20216,6,5.0,1,2219.0,36559.0
37267,181786,1,5.0,1,1.0,185.0
107187,205732,2,9.0,9,19.0,3411.0
11781,148457,0,47.0,8,43.0,1006.0
160394,100816,5,23.0,12,2231.0,8.0
80826,67768,1,65.0,7,2301.0,3123.0
17309,221925,0,61.0,5,2002.0,30632.0
50693,214429,1,29.0,2,2045.0,668.0
77274,163999,1,65.0,3,33.0,2.0
60159,39451,1,41.0,10,35.0,10.0
196612,222642,6,6.0,11,1.0,48.0
153217,124395,5,16.0,7,13.0,4.0
236360,195592,7,4.0,10,9.0,3221.0
10935,94857,0,47.0,6,23.0,14.0
43170,18029,1,23.0,2,2265.0,8.0
187904,48144,6,5.0,1,2219.0,35436.0
182773,1326,6,3.0,7,2250.0,33.0
222019,171953,7,1.0,11,10.0,472.0
91777,151784,2,4.0,1,41.0,36.0
224021,92883,7,1.0,15,13.0,6477.0
231097,48039,7,3.0,9,2217.0,36.0
186012,52840,6,5.0,1,2219.0,31092.0
75775,219545,1,65.0,3,17.0,10.0
188886,79444,6,5.0,1,2219.0,37344.0
96534,124012,2,7.0,3,239.0,82.0
132016,152513,4,2.0,5,9.0,125.0
193662,223568,6,6.0,5,15.0,7828.0
220929,105791,7,1.0,10,2924.0,15184.0
238480,106528,7,4.0,12,11.0,14.0
207402,56573,7,1.0,7,2209.0,5.0
222031,44301,7,1.0,11,10.0,563.0
26988,148651,0,63.0,1,37.0,31.0
151147,104740,5,16.0,3,1.0,108.0
22225,95493,0,61.0,9,6.0,818.0
107263,144383,2,9.0,9,2003.0,1053.0
239899,105786,7,4.0,12,5.0,58.0
186493,69119,6,5.0,1,2219.0,32139.0
37061,126501,1,3.0,3,1.0,20.0
97936,131167,2,7.0,5,9.0,307.0
235460,144185,7,4.0,10,45.0,28.0
127868,29511,3,6.0,11,2101.0,8.0
240481,54918,7,4.0,14,2213.0,38.0
59278,197404,1,41.0,8,2.0,1637.0
167829,76262,6,1.0,2,17.0,6.0
35161,52968,1,1.0,8,2523.0,847.0
160628,34009,5,23.0,15,,
230141,205082,7,3.0,7,7.0,255.0
42766,79270,1,23.0,1,51.0,0.0
233298,110938,7,4.0,7,20.0,74.0
71551,149607,1,62.0,3,5.0,91.0
175382,164531,6,1.0,15,31.0,318541.0
43442,95043,1,23.0,3,2277.0,80.0
133321,202544,4,4.0,2,2.0,328.0
229311,157355,7,3.0,5,3.0,4513.0
238806,175554,7,4.0,12,21.0,2221.0
141220,90990,5,1.0,12,3.0,5.0
87613,3816,2,1.0,5,7.0,2.0
96616,104498,2,7.0,3,251.0,8.0
47583,93542,1,25.0,8,9.0,6.0
155533,221284,5,16.0,9,31.0,506.0
62,43741,0,1.0,1,19.0,10.0
237138,35785,7,4.0,11,2215.0,7485.0
180556,27106,6,3.0,2,7.0,25.0
163298,110706,5,25.0,3,2700.0,121.0
107085,96638,2,9.0,9,15.0,10.0
228350,220043,7,3.0,3,3.0,248.0
182570,220502,6,3.0,7,2001.0,207.0
202951,168103,6,11.0,1,27.0,325.0
52629,195633,1,29.0,2,48.0,902.0
83901,28425,1,66.0,1,20.0,0.0
255159,90034,8,10.0,17,29.0,53391.0
17104,202032,0,61.0,5,2002.0,30171.0
180672,23806,6,3.0,2,8.0,40.0
150721,70446,5,16.0,2,3.0,2.0
43576,32549,1,23.0,3,45.0,24.0
246718,84596,8,10.0,16,248.0,91.0
6382,98477,0,41.0,3,2400.0,482.0
121958,198494,2,21.0,3,8.0,405.0
259935,11354,8,10.0,17,83.0,6504.0
18405,175114,0,61.0,5,2013.0,4905.0
168904,89672,6,1.0,6,11.0,10.0
113324,52908,2,12.0,12,2760.0,16122.0
92370,116759,2,6.0,1,45.0,16.0
66280,191131,1,60.0,12,2.0,797.0
76026,154016,1,65.0,3,23.0,6.0
